,Date,Title,Rating,Review
17,"Reviewed in the United States on June 24, 2020",Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,5.0 out of 5 stars,"

  The cream inside of this jar is thick and fragrance-free.  That is all I can write about this product because the ingredient list and the label in in Chinese.  Chinese products are known to contain bleach because white, clear skin is ""ideal"".If the ingredient list on the Amazon website is to be believed, there is still Sodium Hyaluronate listed, which is a product used to treat knee pain and other joint pain. Why that ingredient is in a lotion is questionable and makes one wonder what other unnecessary ingredients this lotion contains.I also question the legality of selling a product that isn't labeled in English to the US market.

"
18,,Love this moisturizer!,5.0 out of 5 stars,
19,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,4.0 out of 5 stars,
20,,Love this moisturizer!,5.0 out of 5 stars,
21,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
22,,Love this moisturizer!,5.0 out of 5 stars,
23,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
24,,Love this moisturizer!,5.0 out of 5 stars,
25,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
26,,Love this moisturizer!,5.0 out of 5 stars,
27,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
28,,Love this moisturizer!,5.0 out of 5 stars,
29,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
30,,Love this moisturizer!,5.0 out of 5 stars,
31,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
32,,Love this moisturizer!,5.0 out of 5 stars,
33,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
34,,Love this moisturizer!,5.0 out of 5 stars,
35,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
36,,Love this moisturizer!,5.0 out of 5 stars,
37,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
38,,Love this moisturizer!,5.0 out of 5 stars,
39,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
40,,Love this moisturizer!,5.0 out of 5 stars,
41,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
42,,Love this moisturizer!,5.0 out of 5 stars,
43,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
44,,Love this moisturizer!,5.0 out of 5 stars,
45,,Manufactured for Chinese Consumers. Not Labeled in English So Ingredients UNKNOWN,1.0 out of 5 stars,
